fold,variant,seed,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy,effective_rank,feature_variance_nonzero_fraction,n_test_samples,n_test_regions
0,pathoalign_dep20,911,0.7525459349155426,0.6954333186149597,0.9197916666666666,0.8784722222222222,0.36527777777777776,66.7521737426194,1.0,8,144
0,pathoalign_dep20,912,0.7535170316696167,0.695749819278717,0.9208333333333336,0.8715277777777778,0.35416666666666663,66.76108671432398,1.0,8,144
0,pathoalign_dep20,913,0.7550273537635803,0.7001399397850037,0.925,0.8819444444444444,0.3361111111111111,66.6843150451935,1.0,8,144
0,pathoalign_dep20,914,0.7436999976634979,0.685749888420105,0.9208333333333334,0.8645833333333334,0.3708333333333333,69.8344281824207,1.0,8,144
0,pathoalign_dep20,915,0.7541493356227875,0.6972084641456604,0.9309027777777776,0.90625,0.36527777777777776,67.93984521562143,1.0,8,144
1,pathoalign_dep20,911,0.727690976858139,0.6335573792457581,0.9433862433862433,0.8915343915343915,0.35978835978835977,76.99459449671538,1.0,9,189
1,pathoalign_dep20,912,0.724307757616043,0.6301271319389343,0.9428571428571427,0.8888888888888888,0.3492063492063492,77.8124135612958,1.0,9,189
1,pathoalign_dep20,913,0.7290253520011902,0.6367067098617554,0.9433862433862433,0.8835978835978836,0.3767195767195767,76.24086390254024,1.0,9,189
1,pathoalign_dep20,914,0.7227329969406128,0.6248160004615784,0.9473544973544973,0.873015873015873,0.3798941798941799,76.99125360578923,1.0,9,189
1,pathoalign_dep20,915,0.7280014634132386,0.6382569074630737,0.9420634920634919,0.8915343915343915,0.3724867724867725,75.99104622198982,1.0,9,189
2,pathoalign_dep20,911,0.7256616473197937,0.6607752442359924,0.9248275862068965,0.8862068965517241,0.3503448275862069,75.64546067077116,1.0,9,145
2,pathoalign_dep20,912,0.7212818920612335,0.6536133885383606,0.9172413793103449,0.8793103448275862,0.3613793103448276,74.965359859761,1.0,9,145
2,pathoalign_dep20,913,0.7206411540508271,0.6510720252990723,0.9262068965517243,0.8862068965517241,0.3503448275862069,76.3837981049966,1.0,9,145
2,pathoalign_dep20,914,0.7253967881202698,0.6573788523674011,0.9341379310344827,0.8862068965517241,0.3489655172413793,75.07396412594323,1.0,9,145
2,pathoalign_dep20,915,0.7247581422328949,0.6580504179000854,0.9217241379310345,0.8793103448275862,0.3820689655172414,75.77849755662808,1.0,9,145
3,pathoalign_dep20,911,0.717680835723877,0.6387495398521423,0.9490384615384615,0.891025641025641,0.35641025641025637,73.57670000964714,1.0,9,156
3,pathoalign_dep20,912,0.7207735002040863,0.6480762958526611,0.9567307692307694,0.9294871794871795,0.34102564102564104,73.54467519374462,1.0,9,156
3,pathoalign_dep20,913,0.7197317898273468,0.6462544202804565,0.9500000000000002,0.8974358974358975,0.3679487179487179,72.63020196131882,1.0,9,156
3,pathoalign_dep20,914,0.7234208285808563,0.6481188535690308,0.9532051282051283,0.907051282051282,0.358974358974359,72.77073903999974,1.0,9,156
3,pathoalign_dep20,915,0.7264208495616913,0.6565747261047363,0.9509615384615383,0.9038461538461539,0.32948717948717954,70.79632622194133,1.0,9,156
4,pathoalign_dep20,911,0.7279714226722718,0.6559247374534607,0.9192982456140351,0.8567251461988303,0.3742690058479532,77.22782319202574,1.0,9,171
4,pathoalign_dep20,912,0.7253799319267273,0.6500603556632996,0.9192982456140351,0.8596491228070176,0.34269005847953216,77.85034293741953,1.0,9,171
4,pathoalign_dep20,913,0.7290895223617554,0.6553773880004883,0.9242690058479532,0.868421052631579,0.4140350877192982,77.32307475715186,1.0,9,171
4,pathoalign_dep20,914,0.7265839993953704,0.6509619951248169,0.9295321637426902,0.8742690058479532,0.3695906432748538,77.58755581232865,1.0,9,171
4,pathoalign_dep20,915,0.7235327184200286,0.6496708989143372,0.9219298245614034,0.8742690058479532,0.3578947368421052,77.95308995645091,1.0,9,171
